City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
424,inongo,-1.95,18.2667,24.64,69,100,1.42,CD,1706492413
425,selfoss,63.9331,-20.9971,-2.2,53,72,8.18,IS,1706492413
426,lethem,3.3803,-59.7968,28.91,48,1,4.83,GY,1706492413
427,shiqian,27.5225,108.2281,5.25,92,100,0.73,CN,1706492413
428,natal,-5.795,-35.2094,27.12,78,20,2.06,BR,1706492154
429,zouerate,22.7187,-12.4521,16.4,19,0,3.51,MR,1706492414
430,xichang,27.8964,102.2634,6.67,71,2,1.06,CN,1706492414
431,nelson bay,-32.7167,152.15,31.16,74,56,10.28,AU,1706492414
432,kupino,54.3663,77.2981,-19.02,100,95,3.29,RU,1706492414
433,ardakan,32.31,54.0175,6.13,46,0,3.37,IR,1706492414
434,jiayuguan,39.8167,98.3,-5.88,27,59,0.6,CN,1706492415
435,firuzabad,28.8438,52.5707,4.81,40,100,2.41,IR,1706492415
436,fallon,39.4735,-118.7774,12.73,66,7,2.47,US,1706492415
437,malanje,-9.5402,16.341,19.11,98,100,0.49,AO,1706492415
438,rio gallegos,-51.6226,-69.2181,17.03,42,0,2.57,AR,1706492415
439,broken hill,-31.95,141.4333,32.65,17,0,2.97,AU,1706492173
440,noosa heads,-26.3833,153.15,30.62,85,100,5.78,AU,1706492416
441,bad gandersheim,51.8667,10.0333,6.32,80,90,0.45,DE,1706492416
442,bandipura,34.4167,74.65,3.66,99,100,1.12,IN,1706492416
443,kudahuvadhoo,2.6708,72.8944,27.57,77,36,6.7,MV,1706492416
444,masterton,-40.9597,175.6575,22.16,54,100,6.51,NZ,1706492416
445,uturoa,-16.7333,-151.4333,28.21,79,74,3.76,PF,1706492416
446,meihekou,42.5272,125.6753,-10.41,80,5,0.05,CN,1706492417
447,kirakira,-10.4544,161.9205,29.07,77,100,3.07,SB,1706492417
448,mariental,-24.6333,17.9667,28.36,22,85,4.91,NA,1706492417
449,mahdia,35.5047,11.0622,10.97,83,4,0.94,TN,1706492418
450,mateszalka,47.9553,22.3235,-0.15,83,7,1.81,HU,1706492418
451,mount gambier,-37.8333,140.7667,24.51,47,0,4.31,AU,1706492418
452,shanhaiguan,39.9988,119.7564,-3.39,47,0,5.91,CN,1706492418
453,walvis bay,-22.9575,14.5053,18.94,94,53,0.0,NA,1706492418
454,severo-yeniseyskiy,60.3725,93.0408,-30.79,96,45,1.79,RU,1706492419
455,kawambwa,-9.7915,29.0791,17.53,99,100,1.14,ZM,1706492419
456,cacimba de dentro,-6.6417,-35.79,22.41,86,60,3.46,BR,1706492419
457,taro,-8.3862,115.28,23.0,73,100,0.64,ID,1706492419
458,izobil'nyy,45.3709,41.7084,-3.42,93,95,3.09,RU,1706492419
459,charters towers,-20.1,146.2667,33.72,46,100,4.83,AU,1706492420
460,gadzhiyevo,69.2551,33.3362,0.55,90,100,11.45,RU,1706492420
461,mil'kovo,55.6078,37.7956,-3.89,100,98,2.32,RU,1706492420
462,joshimath,30.5667,79.5667,4.12,45,0,3.38,IN,1706492420
463,peterhead,57.5058,-1.7981,7.22,77,100,4.29,GB,1706492420
464,port douglas,-16.4833,145.4667,30.2,74,100,3.56,AU,1706492421
465,kisangani,0.5167,25.2,21.72,50,97,1.08,CD,1706492421
466,idri,27.5,13.2667,10.96,66,2,4.0,LY,1706492421
467,minas de marcona,-15.2119,-75.1103,19.63,75,7,3.7,PE,1706492421
468,nobres,-14.7203,-56.3275,27.44,54,27,2.8,BR,1706492421
469,mejit,10.2753,170.8646,25.56,76,100,6.87,MH,1706492421
470,caleta de carquin,-11.0925,-77.6267,24.17,80,100,3.11,PE,1706492421
471,flying fish cove,-10.4217,105.6791,28.82,78,75,3.6,CX,1706492422
472,tarawa,1.419,172.984,31.05,74,75,3.6,KI,1706492422
473,morehead city,34.7229,-76.726,14.03,66,75,6.69,US,1706492422
474,reggane,26.7158,0.1714,17.0,20,0,6.24,DZ,1706492423
475,buala,-8.145,159.5921,27.33,83,100,5.46,SB,1706492423
476,saudarkrokur,65.7461,-19.6394,-5.81,90,83,5.3,IS,1706492423
477,chandbali,20.7833,86.7667,17.61,52,58,0.41,IN,1706492423
478,port macquarie,-31.4333,152.9167,26.05,76,100,4.5,AU,1706492138
479,sandakan,5.8402,118.1179,28.82,74,40,3.13,MY,1706492423
480,oshawa,43.9001,-78.8496,2.17,92,100,1.54,CA,1706492424
481,happy valley-goose bay,53.3168,-60.3315,-21.83,54,0,3.09,CA,1706492416
482,mandalgovi,45.7625,106.2708,-22.65,98,25,0.34,MN,1706492424
483,saint croix,17.7397,-64.7388,23.86,81,0,2.57,VI,1706492424
484,kutum,14.2,24.6667,11.54,35,40,2.71,SD,1706492424
485,port hedland,-20.3167,118.5667,30.03,66,40,7.2,AU,1706492204
486,fedorovskiy,45.0972,40.9517,-1.82,94,97,3.5,RU,1706492425
487,trairi,-3.2778,-39.2689,27.41,80,99,4.79,BR,1706492425
488,aroma,15.8167,36.1333,18.84,62,14,3.76,SD,1706492425
489,mulayjah,27.271,48.4242,13.88,59,100,3.39,SA,1706492425
490,nelson,-41.2833,173.2833,24.6,59,1,4.22,NZ,1706492426
491,el jadid,33.2549,-8.506,15.5,53,81,2.31,MA,1706492426
492,kingscliff,-28.2667,153.5667,29.89,79,100,5.66,AU,1706492426
493,shimanovsk,52.0,127.7,-20.59,87,100,4.02,RU,1706492426
494,piti village,13.4626,144.6933,27.49,72,100,8.75,GU,1706492426
495,namtsy,62.7161,129.6658,-35.21,94,100,1.37,RU,1706492426
496,bapatla,15.9,80.4667,19.99,81,93,2.64,IN,1706492426
497,lianzhou,24.7811,112.3825,9.72,88,99,0.29,CN,1706492427
498,baker city,44.7749,-117.8344,8.14,78,100,1.54,US,1706492291
499,kavaratti,10.5669,72.642,27.24,71,28,3.99,IN,1706492427
500,corner brook,48.9667,-57.9484,-0.91,98,100,0.92,CA,1706492427
501,alghero,40.5589,8.3181,5.05,100,0,0.51,IT,1706492157
502,medina,24.4686,39.6142,15.24,26,0,2.57,SA,1706492427
503,matadi,-5.8167,13.45,24.83,98,100,1.02,CD,1706492427
504,cockburn town,21.4612,-71.1419,26.98,61,40,4.63,TC,1706492428
505,angra do heroismo,38.65,-27.2167,14.51,75,40,2.68,PT,1706492428
506,magadan,59.5667,150.8,-16.09,71,7,1.52,RU,1706492428
507,haiku-pauwela,20.9219,-156.3051,26.13,70,40,12.35,US,1706492428
508,bodaybo,57.8506,114.1933,-37.64,99,88,0.6,RU,1706492428
509,sao tome,0.3365,6.7273,27.29,80,17,2.83,ST,1706492428
510,taoudenni,22.6783,-3.9836,18.77,17,0,4.54,ML,1706492428
511,newquay,50.4132,-5.0819,12.24,100,75,6.17,GB,1706492429
512,lazaro cardenas,17.9583,-102.2,25.33,74,100,2.57,MX,1706492429
513,puerto santa,-8.9906,-78.6456,24.19,81,100,3.76,PE,1706492429
514,gizo,-8.103,156.8419,25.92,88,100,5.16,SB,1706492386
515,peringat,6.0333,102.2833,26.97,78,20,6.17,MY,1706492429
516,odienne,9.51,-7.5692,21.64,21,56,0.82,CI,1706492429
517,mahibadhoo,3.7833,72.9667,27.78,71,43,6.49,MV,1706492429
518,garden city,42.3256,-83.331,3.0,84,75,5.14,US,1706492430
519,formosa do rio preto,-11.0483,-45.1931,21.27,99,100,1.1,BR,1706492430
520,mushie,-3.0167,16.9,25.34,78,100,1.14,CD,1706492430
521,nogliki,51.8333,143.1667,-13.14,93,95,2.68,RU,1706492430
522,kabalo,-6.05,26.9167,20.56,99,100,0.72,CD,1706492430
523,talnakh,69.4865,88.3972,-12.66,93,100,5.52,RU,1706492355
524,betio village,1.358,172.9211,31.02,67,82,6.49,KI,1706492431
525,antalaha,-14.9003,50.2788,23.69,91,63,2.26,MG,1706492431
526,huarmey,-10.0681,-78.1522,24.32,81,100,2.9,PE,1706492431
527,antsiranana,-12.2787,49.2917,24.64,85,100,3.22,MG,1706492431
528,montepuez,-13.1256,38.9997,21.27,96,100,1.46,MZ,1706492431
529,bambanglipuro,-7.95,110.2833,27.06,81,100,1.81,ID,1706492432
530,lepsy,46.235,78.9456,-12.27,85,99,5.03,KZ,1706492432
531,undurkhaan,47.3194,110.6556,-21.74,95,100,2.04,MN,1706492432
532,turinsk,58.0458,63.696,-23.46,100,89,1.75,RU,1706492432
533,wuwei,37.9281,102.6414,-2.82,39,87,1.09,CN,1706492432
534,banfora,10.6333,-4.7667,23.07,16,18,1.93,BF,1706492433
535,conception bay south,47.4999,-52.9981,-0.87,83,98,4.31,CA,1706492391
536,prince rupert,54.3161,-130.3201,11.05,87,100,12.86,CA,1706492433
537,baymak,52.5933,58.3225,-19.02,99,73,1.81,RU,1706492433
